Asset ID,Asset Name,Type,Description,IP Address,MAC Address,Serial Number,Model Number,Status,Decommissioned,Business Criticality,Impact Radius,Resource Group,Vendor,Manufacturer,Device Contact,Country,Site,Region,Business Time Zone,Tags
425,AUSYCT-28A-I0E8,Firewall,Description of Device1,102.149.189.43,89:5e:a3:d0:b7:9d,SNJQE65H,ModelQCKX,Active,No,High,Global,Group5,HP,Dell,Contact3,Canada,Warehouse,North,GMT+5,Tag2
2198,AUSYCT-28A-KK14,Printer,Description of Device2,247.161.15.112,c3:bb:3d:ca:53:7c,SN55PPUA,Model1R60,Inactive,Yes,High,Local,Group2,Cisco,Cisco,Contact1,UK,Datacenter,East,GMT-8,Tag1
6663,AUSYCT-28A-SJK9,Router,Description of Device3,106.226.31.202,71:68:1f:a6:f8:10,SNVIBCTZ,Model9T4P,Inactive,Yes,Low,Local,Group3,HP,Dell,Contact2,Germany,Warehouse,South,GMT-5,Tag1
2922,AUSYCT-28A-H527,Printer,Description of Device4,112.230.106.148,55:f5:20:28:55:ab,SNVIDW9Q,ModelP3IA,Active,No,High,Global,Group5,IBM,Juniper,Contact5,USA,Datacenter,North,GMT+5,Tag1
6806,AUSYCT-28A-B6F4,Router,Description of Device5,120.98.255.2,36:31:0b:8d:85:21,SN7BT6YZ,ModelN3OC,Active,Yes,Low,Local,Group3,Cisco,Dell,Contact1,UK,Branch Office,West,GMT+5,Tag2
1705,AUSYCT-28A-1DR2,Printer,Description of Device6,42.105.194.239,c4:99:c0:fa:82:ba,SNQE7SNZ,ModelKG7G,Active,No,Medium,Local,Group1,Juniper,IBM,Contact5,UK,Datacenter,North,GMT-8,Tag1
2170,AUSYCT-28A-YXUR,Printer,Description of Device7,78.36.16.133,55:bc:29:7d:89:e6,SNDJ6YPH,ModelVOYF,Inactive,No,Low,Local,Group1,IBM,IBM,Contact1,Australia,Warehouse,East,GMT-8,Tag3
4992,AUSYCT-28A-CME9,Firewall,Description of Device8,196.51.228.192,ce:f1:88:5d:b7:21,SNFW02P6,ModelRJ6U,Active,Yes,High,Global,Group5,Cisco,HP,Contact3,Germany,HQ,West,GMT-5,Tag1
5999,AUSYCT-28A-EP6E,Printer,Description of Device9,88.92.190.143,9a:b4:d4:30:f4:71,SN96ZVH2,ModelOKOD,Active,Yes,High,Global,Group3,Dell,Juniper,Contact4,Canada,Branch Office,South,GMT-8,Tag2
103,AUSYCT-28A-AE0I,Printer,Description of Device10,36.202.141.145,4f:69:86:fc:97:b5,SNN49B66,Model6SVZ,Active,Yes,High,Local,Group3,Juniper,HP,Contact1,USA,Warehouse,West,GMT+5,Tag3
