CI Rel ID,Source Asset ID,Source Asset Name,Source IP Address,Source Port,Source Type,Source Icon,Target Asset ID,Target Asset Name,Target IP Address,Target Port,Target Type,Target Icon,Relationship Type ID,Relationship Type Name,Relationship Color
REL665,8557,AUSYCT-28A-D8GY,85.79.162.32,18176,Router,Icon,9692,AUSYCT-28A-57L7,253.5.90.234,29202,Firewall,Icon,31,Connected To,#000000
REL6355,9131,AUSYCT-28A-6PVR,49.59.227.4,42881,Router,Icon,5424,AUSYCT-28A-QKRB,31.229.46.156,47929,Printer,Icon,50,Virtualized On,#000000
REL6067,9537,AUSYCT-28A-L2QJ,80.183.50.238,13509,Router,Icon,1970,AUSYCT-28A-UXXQ,133.130.178.180,15515,Firewall,Icon,64,Configured On,#000000
REL1745,4384,AUSYCT-28A-WJ18,174.34.28.134,1417,Switch,Icon,2636,AUSYCT-28A-9MKE,164.92.160.88,41701,Switch,Icon,17,Replicated At,#000000
REL9053,2928,AUSYCT-28A-J97W,57.36.207.161,13271,Firewall,Icon,9067,AUSYCT-28A-ZK57,132.69.85.48,52680,Switch,Icon,83,Hosted On,#000000
REL4959,7670,AUSYCT-28A-7GAM,237.42.227.238,57810,Switch,Icon,511,AUSYCT-28A-0CBP,213.205.178.93,20560,Switch,Icon,66,Connected To,#000000
REL4233,3145,AUSYCT-28A-KZ7H,99.248.145.122,2461,Firewall,Icon,2839,AUSYCT-28A-AM9T,23.104.175.45,7020,Switch,Icon,17,Replicated At,#000000
REL1366,2321,AUSYCT-28A-ZLO0,203.82.210.98,28924,Printer,Icon,4754,AUSYCT-28A-NJMI,95.106.37.31,21166,Router,Icon,39,Hosted On,#000000
REL9024,9233,AUSYCT-28A-MTOC,39.215.77.148,5977,Router,Icon,6494,AUSYCT-28A-ZPGQ,9.174.172.194,13815,Switch,Icon,100,In Rack,#000000
REL8876,6415,AUSYCT-28A-ATYR,199.231.53.4,10537,Firewall,Icon,2271,AUSYCT-28A-M6GT,57.47.197.49,29393,Firewall,Icon,15,Connected To,#000000
REL4049,7351,AUSYCT-28A-65FY,164.78.217.156,61566,Firewall,Icon,5860,AUSYCT-28A-84YN,96.114.154.130,23431,Switch,Icon,29,Located In,#000000
REL3995,3163,AUSYCT-28A-HE3K,33.120.122.32,29353,Firewall,Icon,9889,AUSYCT-28A-MAFP,211.65.249.237,53657,Switch,Icon,94,Located In,#000000
REL5730,8263,AUSYCT-28A-FTEO,51.249.142.218,21703,Printer,Icon,6323,AUSYCT-28A-1PWE,124.157.64.16,10028,Switch,Icon,54,Configured On,#000000
REL7734,3374,AUSYCT-28A-S4O0,254.242.132.77,9935,Printer,Icon,4694,AUSYCT-28A-FZX5,51.82.238.226,45831,Server,Icon,13,Hosted On,#000000
REL2943,2186,AUSYCT-28A-RJ6W,65.36.50.90,48740,Server,Icon,8077,AUSYCT-28A-ASTB,215.102.254.68,27119,Router,Icon,45,Hosted On,#000000
REL878,1126,AUSYCT-28A-J4Q7,252.162.198.228,3692,Switch,Icon,7182,AUSYCT-28A-Y1O6,33.72.196.84,11755,Firewall,Icon,3,Replicated At,#000000
REL9269,4867,AUSYCT-28A-8F6C,40.127.157.206,1464,Server,Icon,1156,AUSYCT-28A-N3XG,140.146.190.76,26082,Switch,Icon,56,Located In,#000000
REL5661,2438,AUSYCT-28A-KGZQ,87.64.163.83,54294,Switch,Icon,2542,AUSYCT-28A-H8NR,114.124.230.177,61413,Switch,Icon,86,In Rack,#000000
REL9121,4125,AUSYCT-28A-OSZM,90.50.97.174,59485,Router,Icon,3765,AUSYCT-28A-OA9R,14.37.151.205,63580,Switch,Icon,18,Hosted On,#000000
REL7247,5222,AUSYCT-28A-HZA8,132.38.12.215,61294,Switch,Icon,5724,AUSYCT-28A-2JB7,135.231.110.132,44477,Printer,Icon,60,Configured On,#000000
REL4534,5652,AUSYCT-28A-PAG9,93.112.38.132,22838,Server,Icon,5048,AUSYCT-28A-07U7,48.71.179.219,1621,Printer,Icon,91,Virtualized On,#000000
REL1297,4683,AUSYCT-28A-FWUC,206.158.241.30,48701,Server,Icon,7920,AUSYCT-28A-P01R,114.153.171.112,64531,Switch,Icon,73,Configured On,#000000
REL3834,9920,AUSYCT-28A-HXC8,126.81.243.83,33893,Printer,Icon,7744,AUSYCT-28A-YV9U,198.195.188.4,39245,Router,Icon,62,Located In,#000000
REL5969,7984,AUSYCT-28A-WVSY,134.79.27.12,57291,Printer,Icon,4527,AUSYCT-28A-VN99,117.189.173.147,64652,Server,Icon,97,Located In,#000000
REL6670,9252,AUSYCT-28A-0J9T,38.95.165.209,25309,Printer,Icon,3613,AUSYCT-28A-ZJIL,145.190.190.9,55049,Switch,Icon,24,Owns,#000000
REL3847,7695,AUSYCT-28A-JVJ8,228.132.253.2,46909,Server,Icon,6214,AUSYCT-28A-ACF1,11.44.158.113,59565,Printer,Icon,52,Connected To,#000000
REL7854,6707,AUSYCT-28A-15Q2,29.13.50.16,30375,Printer,Icon,8467,AUSYCT-28A-I0PB,186.249.67.28,2064,Firewall,Icon,19,Depends On,#000000
REL2235,3560,AUSYCT-28A-WT8X,80.110.86.81,56906,Switch,Icon,9067,AUSYCT-28A-II6X,4.189.24.58,3431,Firewall,Icon,53,Hosted On,#000000
REL3546,8973,AUSYCT-28A-S0H3,251.200.179.67,3184,Server,Icon,4682,AUSYCT-28A-6J62,158.177.249.159,4892,Firewall,Icon,16,Owns,#000000
REL1857,6558,AUSYCT-28A-T1HR,77.217.139.240,41313,Server,Icon,9429,AUSYCT-28A-TFRO,163.145.91.138,43092,Switch,Icon,32,Hosted On,#000000
REL3707,8931,AUSYCT-28A-ZMLK,77.50.197.208,53449,Server,Icon,7385,AUSYCT-28A-4D2Z,223.231.241.213,39074,Printer,Icon,94,Hosted On,#000000
REL8336,6916,AUSYCT-28A-HKP0,66.192.23.171,48154,Server,Icon,2731,AUSYCT-28A-Y9VG,168.43.172.163,49727,Switch,Icon,9,Connected To,#000000
REL7887,8441,AUSYCT-28A-DX6K,184.234.49.207,2364,Switch,Icon,9129,AUSYCT-28A-7KHB,133.233.176.171,27872,Firewall,Icon,79,In Rack,#000000
REL1195,3223,AUSYCT-28A-SIIR,69.4.215.58,55267,Firewall,Icon,3008,AUSYCT-28A-ONLU,196.81.26.236,35635,Firewall,Icon,94,Connected To,#000000
REL4179,5383,AUSYCT-28A-32G2,39.72.108.116,40746,Printer,Icon,3402,AUSYCT-28A-WVB3,236.190.122.168,34930,Printer,Icon,57,Hosted On,#000000
REL6439,8206,AUSYCT-28A-BKQI,122.244.8.193,45844,Server,Icon,452,AUSYCT-28A-9L95,130.221.48.198,59865,Router,Icon,51,Configured On,#000000
REL8165,7939,AUSYCT-28A-LG82,172.170.184.240,16459,Server,Icon,6497,AUSYCT-28A-9GTM,225.191.55.72,26584,Firewall,Icon,93,Connected To,#000000
REL4699,1080,AUSYCT-28A-NSXX,139.179.153.31,16124,Switch,Icon,6639,AUSYCT-28A-63LA,54.82.235.223,3688,Server,Icon,97,Hosted On,#000000
REL5767,4674,AUSYCT-28A-UFGF,200.75.174.99,1726,Printer,Icon,4172,AUSYCT-28A-FMQV,236.118.242.69,55739,Switch,Icon,25,Located In,#000000
REL6504,6829,AUSYCT-28A-WFSH,248.117.238.200,49564,Printer,Icon,3595,AUSYCT-28A-4IXW,255.177.247.82,54768,Server,Icon,97,Located In,#000000
REL8931,2205,AUSYCT-28A-TWWV,17.89.18.198,5777,Printer,Icon,9567,AUSYCT-28A-ECZL,208.209.172.136,6064,Server,Icon,85,Depends On,#000000
REL4508,5017,AUSYCT-28A-DD87,208.235.76.243,34588,Firewall,Icon,730,AUSYCT-28A-3HTC,132.238.28.126,37137,Firewall,Icon,59,Replicated At,#000000
REL4972,1496,AUSYCT-28A-5KHI,197.157.213.13,39183,Switch,Icon,3205,AUSYCT-28A-L7WT,50.129.148.155,28084,Server,Icon,52,In Rack,#000000
REL248,1585,AUSYCT-28A-G2MR,63.217.118.43,9993,Printer,Icon,9842,AUSYCT-28A-KI1T,121.78.0.85,40818,Printer,Icon,20,Owns,#000000
REL3391,7285,AUSYCT-28A-4BJ7,176.198.185.126,64901,Router,Icon,9131,AUSYCT-28A-6PVR,49.59.227.4,29071,Router,Icon,85,Replicated At,#000000
