CI Rel ID,Source Asset ID,Source Asset Name,Source IP Address,Source Port,Source Type,Source Icon,Target Asset ID,Target Asset Name,Target IP Address,Target Port,Target Type,Target Icon,Relationship Type ID,Relationship Type Name,Relationship Color
REL3370,f7c74176-91f6-4f24-befc-f25e1b47639d,Device1,171.118.113.147,51528,Printer,,c7a0b5d2-6327-45e7-b91d-e8a6508a8cac,Device739,147.141.205.164,57333,Firewall,,2,Owns,#E4A2C1
REL9017,f7c74176-91f6-4f24-befc-f25e1b47639d,Device1,171.118.113.147,2136,Printer,,c9af74ae-1239-4643-ac37-3f44869d4382,Device22,162.240.60.81,40565,Switch,,4,Virtualized On,#62752F
REL2909,f7c74176-91f6-4f24-befc-f25e1b47639d,Device1,171.118.113.147,10268,Printer,,7fd0280c-0635-4fc3-92d8-84d0dbb15c3d,Device774,186.174.120.54,5654,Switch,,1,Virtualized On,#AEC56D
REL4051,d05d390f-c2e5-4bd1-b050-a7173df98b63,Device2,74.104.156.174,37429,Printer,,4fd7aa23-2813-4295-a8cf-3aea47d235a9,Device40,222.28.31.142,43590,Server,,5,Configured On,#386FAD
REL1884,d05d390f-c2e5-4bd1-b050-a7173df98b63,Device2,74.104.156.174,2987,Printer,,6dd8ea12-5d9f-4b53-8545-d404e1e35470,Device623,131.230.92.90,5961,Router,,1,Physically Connected To,#F88328
REL1635,54f59cc3-8637-4f78-9a91-a98fd8af0faa,Device3,159.67.34.206,63819,Server,,44cdf879-0a8b-41b1-a334-9a25e0967c15,Device573,22.104.190.20,16052,Router,,4,In Rack,#4FCFE5
REL9734,54f59cc3-8637-4f78-9a91-a98fd8af0faa,Device3,159.67.34.206,23664,Server,,ad386a97-a485-4c0a-bfe1-05d1ac6a0900,Device653,179.219.61.157,42759,Firewall,,5,Hosted On,#423B88
REL6197,422a6b54-04bf-4a03-96c3-30412afddb67,Device4,229.109.114.7,42402,Printer,,bf4ba15a-809c-47b9-9b97-3aa5e2ed5ee1,Device588,254.146.197.191,15772,Server,,2,Located In,#486729
REL6637,422a6b54-04bf-4a03-96c3-30412afddb67,Device4,229.109.114.7,30364,Printer,,242017d8-99a3-4917-affb-bf55f3f1781a,Device972,184.6.152.39,4058,Switch,,2,Located In,#442DF8
REL5585,422a6b54-04bf-4a03-96c3-30412afddb67,Device4,229.109.114.7,35694,Printer,,52267177-9f04-41ff-8fcb-e0b97979c513,Device205,69.207.30.1,2846,Printer,,3,Connected To,#C6A6D2
